Z	H	T	T/T0	p	p/p0	ρ	ρ/ρ0	c	g
km	km	K		Pa		kg m-3		m/s	m s-2
0	0	288.15	1	1.01E+05	1.00E+00	1.23E+00	1.00E+00	340.29	9.8066
5	5	255.676	0.8873	5.40E+04	5.33E-01	7.36E-01	6.01E-01	320.55	9.7912
10	10	223.252	0.7748	2.65E+04	2.62E-01	4.14E-01	3.38E-01	299.53	9.7759
15	15	216.65	0.7519	1.21E+04	1.20E-01	1.95E-01	1.59E-01	295.07	9.7605
20	19.9	216.65	0.7519	5.53E+03	5.46E-02	8.89E-02	7.26E-02	295.07	9.7452
25	24.9	221.552	0.7689	2.55E+03	2.52E-02	4.01E-02	3.27E-02	298.39	9.73
30	29.9	226.509	0.7861	1.20E+03	1.18E-02	1.84E-02	1.50E-02	301.71	9.7147
35	34.8	236.513	0.8208	5.75E+02	5.67E-03	8.46E-03	6.91E-03	308.3	9.6995
40	39.7	250.35	0.8688	2.87E+02	2.83E-03	4.00E-03	3.26E-03	317.19	9.6844
45	44.7	264.164	0.9168	1.49E+02	1.47E-03	1.97E-03	1.61E-03	325.82	9.6693
50	49.6	270.65	0.9393	7.98E+01	7.87E-04	1.03E-03	8.38E-04	329.8	9.6542
55	54.5	260.771	0.905	4.25E+01	4.20E-04	5.68E-04	4.64E-04	323.72	9.6391
60	59.4	247.021	0.8573	2.20E+01	2.17E-04	3.10E-04	2.53E-04	315.07	9.6241
65	64.3	233.292	0.8096	1.09E+01	1.08E-04	1.63E-04	1.33E-04	306.19	9.6091
70	69.2	219.585	0.7621	5.22E+00	5.15E-05	8.28E-05	6.76E-05	297.06	9.5942
75	74.1	208.399	0.7232	2.39E+00	2.36E-05	3.99E-05	3.26E-05	289.4	9.5793
80	79	198.639	0.6894	1.05E+00	1.04E-05	1.85E-05	1.51E-05	282.54	9.5644
85	83.9	188.893	0.6555	4.46E-01	4.40E-06	8.22E-06	6.71E-06	275.52	9.5496
90	88.7	186.867	0.6485	1.84E-01	1.82E-06	3.44E-06	2.81E-06	274.04	9.5347
95	93.6	188.418	0.6539	7.58E-02	7.48E-07	1.39E-06	1.13E-06	275.17	9.52
100	98.5	195.081	0.677	3.20E-02	3.16E-07	5.60E-07	4.58E-07	280	9.5052
105	103.3	208.835	0.7247	1.44E-02	1.42E-07	2.33E-07	1.90E-07	289.7	9.4905
110	108.1	240	0.8329	7.15E-03	7.06E-08	9.67E-08	7.90E-08	310.56	9.4759
115	113	300	1.0411	4.00E-03	3.95E-08	4.28E-08	3.49E-08	347.22	9.4612
120	117.8	360	1.2493	2.54E-03	2.50E-08	2.22E-08	1.81E-08	380.36	9.4466
125	122.6	417.231	1.448	1.74E-03	1.71E-08	1.29E-08	1.05E-08	409.48	9.4321
130	127.4	469.268	1.6286	1.25E-03	1.23E-08	8.15E-09	6.65E-09	434.27	9.4175
135	132.2	516.589	1.7928	9.36E-04	9.23E-09	5.46E-09	4.46E-09	455.64	9.403
140	137	559.627	1.9421	7.20E-04	7.11E-09	3.83E-09	3.13E-09	474.24	9.3886
145	141.8	598.776	2.078	5.67E-04	5.59E-09	2.78E-09	2.27E-09	490.54	9.3741
150	146.5	634.392	2.2016	4.54E-04	4.48E-09	2.08E-09	1.69E-09	504.92	9.3597
155	151.3	666.799	2.3141	3.69E-04	3.64E-09	1.58E-09	1.29E-09	517.66	9.3453
160	156.1	696.29	2.4164	3.04E-04	3.00E-09	1.23E-09	1.01E-09	528.98	9.331
165	160.8	723.132	2.5096	2.53E-04	2.49E-09	9.75E-10	7.96E-10	539.08	9.3167
170	165.6	747.566	2.5944	2.12E-04	2.09E-09	7.82E-10	6.38E-10	548.11	9.3024
175	170.3	769.811	2.6716	1.79E-04	1.77E-09	6.34E-10	5.17E-10	556.21	9.2882
180	175	790.066	2.7419	1.53E-04	1.51E-09	5.19E-10	4.24E-10	563.48	9.274
185	179.8	808.511	2.8059	1.31E-04	1.29E-09	4.30E-10	3.51E-10	570.02	9.2598
190	184.5	825.312	2.8642	1.13E-04	1.11E-09	3.58E-10	2.92E-10	575.91	9.2457
195	189.2	840.616	2.9173	9.75E-05	9.62E-10	3.01E-10	2.45E-10	581.22	9.2316
200	193.9	854.559	2.9657	8.47E-05	8.36E-10	2.54E-10	2.07E-10	586.02	9.2175
205	198.6	867.264	3.0098	7.39E-05	7.30E-10	2.16E-10	1.76E-10	590.36	9.2035
210	203.3	878.842	3.0499	6.48E-05	6.39E-10	1.85E-10	1.51E-10	594.29	9.1895
215	208	889.395	3.0866	5.69E-05	5.62E-10	1.58E-10	1.29E-10	597.85	9.1755
220	212.6	899.014	3.12	5.02E-05	4.95E-10	1.37E-10	1.12E-10	601.07	9.1615
225	217.3	907.785	3.1504	4.43E-05	4.37E-10	1.18E-10	9.66E-11	604	9.1476
230	222	915.782	3.1781	3.93E-05	3.88E-10	1.03E-10	8.40E-11	606.65	9.1337
235	226.6	923.075	3.2035	3.49E-05	3.44E-10	8.98E-11	7.33E-11	609.06	9.1199
240	231.3	929.726	3.2265	3.11E-05	3.06E-10	7.86E-11	6.41E-11	611.26	9.1061
245	235.9	935.794	3.2476	2.77E-05	2.73E-10	6.90E-11	5.63E-11	613.25	9.0923
250	240.5	941.33	3.2668	2.48E-05	2.44E-10	6.07E-11	4.96E-11	615.06	9.0785
255	245.2	946.381	3.2843	2.22E-05	2.19E-10	5.36E-11	4.37E-11	616.71	9.0648
260	249.8	950.991	3.3003	1.99E-05	1.96E-10	4.74E-11	3.87E-11	618.21	9.0511
265	254.4	955.198	3.3149	1.79E-05	1.76E-10	4.21E-11	3.43E-11	619.57	9.0374
270	259	959.039	3.3283	1.61E-05	1.59E-10	3.74E-11	3.05E-11	620.82	9.0238
275	263.6	962.545	3.3404	1.45E-05	1.43E-10	3.33E-11	2.72E-11	621.95	9.0102
280	268.2	965.746	3.3515	1.31E-05	1.29E-10	2.97E-11	2.43E-11	622.98	8.9966
285	272.8	968.67	3.3617	1.18E-05	1.17E-10	2.66E-11	2.17E-11	623.93	8.9831
290	277.3	971.34	3.371	1.07E-05	1.05E-10	2.38E-11	1.94E-11	624.79	8.9696
295	281.9	973.779	3.3794	9.68E-06	9.55E-11	2.13E-11	1.74E-11	625.57	8.9561
300	286.5	976.008	3.3872	8.77E-06	8.66E-11	1.92E-11	1.56E-11	626.28	8.9427
305	291	978.044	3.3942	7.96E-06	7.85E-11	1.72E-11	1.41E-11	626.94	8.9292
310	295.6	979.904	3.4007	7.23E-06	7.13E-11	1.55E-11	1.27E-11	627.53	8.9158
315	300.1	981.605	3.4066	6.57E-06	6.48E-11	1.40E-11	1.14E-11	628.08	8.9025
320	304.7	983.159	3.412	5.97E-06	5.90E-11	1.26E-11	1.03E-11	628.57	8.8892
325	309.2	984.58	3.4169	5.44E-06	5.37E-11	1.14E-11	9.32E-12	629.03	8.8759
330	313.7	985.88	3.4214	4.96E-06	4.89E-11	1.03E-11	8.44E-12	629.44	8.8626
335	318.2	987.068	3.4255	4.52E-06	4.46E-11	9.36E-12	7.64E-12	629.82	8.8494
340	322.7	988.154	3.4293	4.13E-06	4.07E-11	8.49E-12	6.93E-12	630.17	8.8361
345	327.2	989.148	3.4328	3.77E-06	3.72E-11	7.71E-12	6.29E-12	630.49	8.823
350	331.7	990.057	3.4359	3.44E-06	3.40E-11	7.00E-12	5.72E-12	630.78	8.8098
355	336.2	990.889	3.4388	3.15E-06	3.11E-11	6.37E-12	5.20E-12	631.04	8.7967
360	340.7	991.65	3.4414	2.88E-06	2.85E-11	5.80E-12	4.73E-12	631.28	8.7836
365	345.2	992.347	3.4439	2.64E-06	2.61E-11	5.28E-12	4.31E-12	631.5	8.7705
370	349.6	992.984	3.4461	2.42E-06	2.39E-11	4.81E-12	3.93E-12	631.71	8.7575
375	354.1	993.568	3.4481	2.22E-06	2.19E-11	4.39E-12	3.58E-12	631.89	8.7445
380	358.6	994.102	3.4499	2.04E-06	2.01E-11	4.01E-12	3.27E-12	632.06	8.7315
385	363	994.591	3.4516	1.87E-06	1.85E-11	3.66E-12	2.99E-12	632.22	8.7186
390	367.5	995.039	3.4532	1.72E-06	1.70E-11	3.35E-12	2.73E-12	632.36	8.7057
395	371.9	995.45	3.4546	1.58E-06	1.56E-11	3.06E-12	2.50E-12	632.49	8.6928
400	376.3	995.825	3.4559	1.45E-06	1.43E-11	2.80E-12	2.29E-12	632.61	8.6799
405	380.7	996.17	3.4571	1.34E-06	1.32E-11	2.57E-12	2.09E-12	632.72	8.6671
410	385.2	996.485	3.4582	1.23E-06	1.21E-11	2.35E-12	1.92E-12	632.82	8.6543
415	389.6	996.774	3.4592	1.13E-06	1.12E-11	2.15E-12	1.76E-12	632.91	8.6415
420	394	997.039	3.4601	1.04E-06	1.03E-11	1.98E-12	1.61E-12	633	8.6288
425	398.4	997.282	3.461	9.61E-07	9.49E-12	1.81E-12	1.48E-12	633.07	8.616
430	402.8	997.505	3.4618	8.86E-07	8.75E-12	1.66E-12	1.36E-12	633.14	8.6033
435	407.1	997.709	3.4625	8.18E-07	8.07E-12	1.53E-12	1.25E-12	633.21	8.5907
440	411.5	997.896	3.4631	7.55E-07	7.45E-12	1.40E-12	1.14E-12	633.27	8.578
445	415.9	998.067	3.4637	6.97E-07	6.88E-12	1.29E-12	1.05E-12	633.32	8.5654
450	420.3	998.225	3.4643	6.45E-07	6.36E-12	1.18E-12	9.67E-13	633.37	8.5529
455	424.6	998.369	3.4648	5.96E-07	5.88E-12	1.09E-12	8.89E-13	633.42	8.5403
460	429	998.502	3.4652	5.51E-07	5.44E-12	1.00E-12	8.18E-13	633.46	8.5278
465	433.3	998.623	3.4656	5.10E-07	5.04E-12	9.22E-13	7.53E-13	633.5	8.5153
470	437.6	998.735	3.466	4.73E-07	4.67E-12	8.49E-13	6.93E-13	633.53	8.5028
475	442	998.837	3.4664	4.38E-07	4.32E-12	7.82E-13	6.38E-13	633.57	8.4904
480	446.3	998.931	3.4667	4.06E-07	4.01E-12	7.21E-13	5.88E-13	633.6	8.478
485	450.6	999.017	3.467	3.77E-07	3.72E-12	6.64E-13	5.42E-13	633.62	8.4656
490	454.9	999.096	3.4673	3.50E-07	3.46E-12	6.13E-13	5.00E-13	633.65	8.4532
495	459.2	999.169	3.4675	3.25E-07	3.21E-12	5.65E-13	4.61E-13	633.67	8.4409
500	463.5	999.236	3.4678	3.02E-07	2.98E-12	5.21E-13	4.26E-13	633.69	8.4286
505	467.8	999.297	3.468	2.81E-07	2.78E-12	4.81E-13	3.93E-13	633.71	8.4163
